,Time,Cur1,Volt1,Volt2,Volt3,Cur4
0,0.5270441,0.0999229,3.0,2.8294,2.83,-0.0999326
1,1.0399,0.0221343,3.0,2.9624,2.9632,-0.0221393
2,1.5526,0.0084681,3.0,2.9856,2.9863,-0.008471
3,2.1789,0.0022297,3.0,2.9936,2.9947,-0.0022306
4,2.6916,0.0019289,3.0,2.9969,2.9976,-0.0019291
5,3.2043,0.0015892,3.0,2.9973,2.9983,-0.0015894
6,3.717,0.0013707,3.0,2.9978,2.9987,-0.0013709
7,4.2296,0.0012476,3.0,2.9977,2.9986,-0.001248
8,4.7423,0.0011321,3.0,2.9976,2.9991,-0.0011323
9,5.255,0.0010479,3.0,2.9979,2.9992,-0.0010481
10,5.7676,0.0009795503,3.0,2.9978,2.9993,-0.0009799629
11,6.2803,0.0008941361,3.0,2.9983,2.9993,-0.000894402
12,6.793,0.0015552,3.0,2.9969,2.9981,-0.0015555
13,7.3057,0.0007252836,3.0,2.9972,2.9983,-0.0007255495
14,7.8184,0.0013656,3.0,2.9977,2.9985,-0.0013656
15,8.3311,0.0006347414,3.0,2.9991,2.9998,-0.0006349458
16,8.8438,0.0011476,3.0,2.9983,2.999,-0.0011478
17,9.3565,0.0006362966,3.0,2.999,2.9998,-0.0006367948
18,9.8692,0.0009909415,3.0,2.9984,2.9993,-0.0009911833
19,10.3819,0.0006380621,3.0,2.9989,2.9998,-0.0006381816
20,10.8946,0.0008617697,3.0,2.9984,2.9995,-0.0008620435
21,11.4073,0.0005682008,3.0,2.9983,2.9999,-0.0005686319
22,11.92,0.0006354139,3.0,2.9993,2.9998,-0.0006357442
23,12.4327,0.000464838,3.0,2.9993,3.0002,-0.0004653368
24,12.9454,0.0005774483,3.0,2.9994,2.9998,-0.0005777091
25,13.4581,0.0004744218,3.0,2.9992,3.0002,-0.0004748763
26,13.9708,0.0005903109,3.0,2.999,3.0,-0.0005906945
27,14.4835,0.0005066202,3.0,2.9991,3.0001,-0.0005068145
28,14.9962,0.0005857712,3.0,2.9989,2.9997,-0.0005861138
29,15.5089,0.0005023328,3.0,2.9988,2.9998,-0.0005026122
30,16.1352,0.0002280333,3.0,2.9988,2.9998,-0.0002280977
31,16.6479,0.0004086834,3.0,2.9985,2.9995,-0.0004087095
32,17.1606,0.0003854914,3.0,2.9999,3.0008,-0.0003855434
33,17.6733,0.0004200755,3.0,2.9994,3.0004,-0.0004201139
34,18.186,0.0003533084,3.0,3.0,3.0008,-0.0003533607
35,18.6987,0.0004188013,3.0,2.9994,3.0003,-0.000418857
36,19.2114,0.0003249354,3.0,2.9995,3.0004,-0.0003249654
37,19.7241,0.0004136246,3.0,2.9992,3.0,-0.0004136655
38,20.2368,0.0002929585,3.0,2.9987,3.0002,-0.0002929802
39,20.7495,0.000398473,3.0,2.9994,2.9999,-0.0003985032
40,21.2622,0.0002806833,3.0,2.9994,3.0004,-0.0002807351
41,21.7749,0.0004349117,3.0,2.9978,2.9985,-0.0004349694
42,22.2876,0.0002743124,3.0,2.9996,3.0006,-0.0002743331
43,22.9134,0.0005275534,3.0,2.9983,2.9992,-0.0005278265
44,23.5397,0.0001968428,3.0,2.9993,3.0,-0.0001968481
45,24.1654,0.000251555,3.0,2.9998,3.0006,-0.000252107
46,24.7917,0.0002642618,3.0,2.9976,2.9987,-0.0002643537
47,25.3044,0.0002394254,3.0,2.9996,3.0006,-0.0002394642
48,25.9302,0.0005565152,3.0,2.9978,2.9993,-0.000556739
49,26.5564,0.0002161661,3.0,2.999,3.0,-0.0002162225
50,27.0691,0.0004728685,3.0,2.9996,3.0007,-0.0004729027
51,27.5818,0.0003468954,3.0,2.9993,2.9998,-0.0003469544
52,28.0945,0.0004330529,3.0,2.9997,3.0005,-0.0004330862
53,28.6072,0.0003185939,3.0,2.9994,3.0007,-0.00031866
54,29.1199,0.0003483462,3.0,2.9999,3.0009,-0.0003484047
55,29.6326,0.000343939,3.0,2.9995,3.0004,-0.0003439615
56,30.1453,0.0003218235,3.0,3.0001,3.0008,-0.0003218505
57,30.658,0.0003438507,3.0,2.9987,3.0005,-0.0003438816
58,31.1707,0.0002921848,3.0,2.9996,3.0008,-0.000292211
59,31.6833,0.0003186696,3.0,2.9989,3.0,-0.0003187231
60,32.1961,0.000248841,3.0,2.9995,3.0003,-0.000248855
61,32.7088,0.0003172902,3.0,2.9998,3.0005,-0.0003173317
62,33.2215,0.0002187103,3.0,2.999,3.0006,-0.0002187741
63,33.7342,0.0003249481,3.0,2.9996,3.0003,-0.000324999
64,34.2469,0.0002193705,3.0,2.9999,3.0006,-0.000219413
65,34.7596,0.0003421812,3.0,2.9984,2.9993,-0.000342217
66,35.2723,0.0002054468,3.0,2.9991,3.0007,-0.0002054781
67,35.785,0.0004860184,3.0,2.9978,2.9987,-0.0004859927
68,36.2977,0.0001919689,3.0,2.9981,2.9995,-0.0001919677
69,36.9235,0.0005570616,3.0,2.9977,2.9992,-0.0005571593
70,37.5498,0.000164088,3.0,2.9985,3.0001,-0.0001641147
71,38.0625,0.0004158997,3.0,2.9996,3.0006,-0.0004159649
72,38.5752,0.0002979544,3.0,2.9989,3.0,-0.0002979783
73,39.0879,0.0003737502,3.0,2.9999,3.0009,-0.0003738575
74,39.6006,0.0003047123,3.0,2.9992,3.0004,-0.0003047377
75,40.1133,0.0003539013,3.0,2.9998,3.0008,-0.0003539534
76,40.626,0.0003131775,3.0,2.9997,3.0003,-0.0003131996
